1980,Best Picture,Ordinary People,"Ronald L. Schwary, Producer",1
1980,Best Picture,Coal Miner's Daughter,"Bernard Schwartz, Producer",0
1980,Best Picture,Tess,"Claude Berri, Producer; Timothy Burrill, Co-Producer",0
1980,Best Picture,Raging Bull,"Irwin Winkler and Robert Chartoff, Producers",0
1980,Best Picture,The Elephant Man,"Jonathan Sanger, Producer",0
1981,Best Picture,Reds,"Warren Beatty, Producer",0
1981,Best Picture,Raiders of the Lost Ark,"Frank Marshall, Producer",0
1981,Best Picture,Chariots of Fire,"David Puttnam, Producer",1
1981,Best Picture,On Golden Pond,"Bruce Gilbert, Producer",0
1981,Best Picture,Atlantic City,"Denis Heroux and John Kemeny, Producers",0
1982,Best Picture,Gandhi,"Richard Attenborough, Producer",1
1982,Best Picture,Missing,"Edward Lewis and Mildred Lewis, Producers",0
1982,Best Picture,Tootsie,"Sydney Pollack and Dick Richards, Producers",0
1982,Best Picture,The Verdict,"Richard D. Zanuck and David Brown, Producers",0
1982,Best Picture,E.T. The Extra-Terrestrial,"Steven Spielberg and Kathleen Kennedy, Producers",0
1983,Best Picture,Tender Mercies,"Philip S. Hobel, Producer",0
1983,Best Picture,Terms of Endearment,"James L. Brooks, Producer",1
1983,Best Picture,The Big Chill,"Michael Shamberg, Producer",0
1983,Best Picture,The Dresser,"Peter Yates, Producer",0
1983,Best Picture,The Right Stuff,"Irwin Winkler and Robert Chartoff, Producers",0
1984,Best Picture,A Passage to India,"John Brabourne and Richard Goodwin, Producers",0
1984,Best Picture,Places in the Heart,"Arlene Donovan, Producer",0
1984,Best Picture,Amadeus,"Saul Zaentz, Producer",1
1984,Best Picture,The Killing Fields,"David Puttnam, Producer",0
1984,Best Picture,A Soldier's Story,"Norman Jewison, Ronald L. Schwary and Patrick Palmer, Producers",0
1985,Best Picture,Kiss of the Spider Woman,"David Weisman, Producer",0
1985,Best Picture,Prizzi's Honor,"John Foreman, Producer",0
1985,Best Picture,Out of Africa,"Sydney Pollack, Producer",1
1985,Best Picture,The Color Purple,"Steven Spielberg, Kathleen Kennedy, Frank Marshall and Quincy Jones, Producers",0
1985,Best Picture,Witness,"Edward S. Feldman, Producer",0
1986,Best Picture,Hannah and Her Sisters,"Robert Greenhut, Producer",0
