2006,Best Original Screenplay,Half Nelson,Ryan Fleck|Anna Boden,0,
2006,Best Original Screenplay,Little Miss Sunshine,Michael Arndt,0,
2006,Best Original Screenplay,The Queen,Peter Morgan,1,
2006,Best Original Screenplay,Scoop,Woody Allen,0,
2006,Best Original Screenplay,Stranger Than Fiction,Zach Helm,0,
2006,Best Original Screenplay,United 93,Paul Greengrass,0,
2006,Best Adapted Screenplay,The Departed,William Monahan,0,
2006,Best Adapted Screenplay,The Devil Wears Prada,Aline Brosh McKenna,1,
2006,Best Adapted Screenplay,Letters From Iwo Jima,Iris Yamashita,0,
2006,Best Adapted Screenplay,The Prestige,Jonathan Nolan|Christopher Nolan,0,
2006,Best Scene,The Departed,,0,You're No Cop
2006,Best Scene,The Departed,,1,The Botched Operation
2006,Best Scene,The Departed,,0,The Rat Persuing the Mole
2006,Best Scene,The Departed,,0,I'm Not the Rat
2006,Best Scene,The Devil Wears Prada,,0,A Lesson in Blue
2006,Best Scene,Half Nelson,,0,The Drug Deal by Teacher and Student
2006,Best Scene,Monster House,,0,Playing it Cool
2006,Best Scene,Pan's Labyrinth,,0,Pale Man Awakens
2006,Best Scene,Pirates of the Carribean: Dead Man's Chest,,0,Do You Fear Death?
2007,Top Ten,No Country For Old Men,,1,
2007,Top Ten,There Will Be Blood,,2,
2007,Top Ten,3:10 to Yuma,,3,
2007,Top Ten,Lars and the Real Girl,,4,
2007,Top Ten,Michael Clayton,,5,
2007,Top Ten,Sweeney Todd: The Demon Barber of Fleet Street,,6,
2007,Top Ten,Gone Baby Gone,,7,
2007,Top Ten,Zodiac,,8,
2007,Top Ten,The Mist,,9,
2007,Top Ten,The Counterfeiters,,10,
2007,Top Ten,The Kite Runner,,11,
2007,Top Ten,Rescue Dawn,,12,
2007,Top Ten,Atonement,,13,
2007,Top Ten,Cassandra's Dream,,14,
2007,Top Ten,The Assassination of Jesse James by the Coward Robert Ford,,15,
2007,Best Picture,3:10 to Yuma,,0,
2007,Best Picture,No country for Old Men,,1,
2007,Best Picture,Lars and the Real Girl,,0,
2007,Best Picture,Michael Clayton,,0,
2007,Best Picture,There Will Be Blood,,0,
2007,Best Actor,3:10 to Yuma|Rescue Dawn,Christian Bale,0,
2007,Best Actor,Michael Clayton,George Clooney,0,
2007,Best Actor,There Will Be Blood,Daniel Day-Lewis,1,
2007,Best Actor,Sweeney Todd: The Demon Barber of Fleet Street,Johnny Depp,0,
2007,Best Actor,Lars and the Real Girl,Ryan Gosling,0,
2007,Best Actor,Atonement,James McAvoy,0,
2007,Best Actor,Before the Devil Knows You're Dead,Phillip Seymour Hoffman,0,
2007,Best Actress,Elizabeth: The Golden Age,Cate Blanchett,0,
2007,Best Actress,Sweeney Todd: The Demon Barber of Fleet Street,Helena Bohnam Carter,0,
2007,Best Actress,Away From Her,Julie Christie,0,
2007,Best Actress,La Vie En Rose,Marion Cotillard,1,
2007,Best Actress,A Mighty Heart,Angelina Jolie,0,
2007,Best Actress,Atonement,Keira Knightley,0,
2007,Best Supporting Actor,The Assassination of Jesse James by the Coward Robert Ford,Casey Affleck,0,
2007,Best Supporting Actor,No Country for Old Men,Javier Bardem,1,
2007,Best Supporting Actor,There Will Be Blood,Paul Dano,0,
2007,Best Supporting Actor,Rescue Dawn,Jeremy Davies,0,
2007,Best Supporting Actor,The Kite Runner,Homayoun Ershadi,0,
2007,Best Supporting Actor,Cassandra's Dream,Colin Farrel,0,
2007,Best Supporting Actor,Gone Baby Gone,Ed Harris,0,
2007,Best Supporting Actor,The Mist,Toby Jones,0,
2007,Best Supporting Actor,Michael Clayton,Tom Wilkinson,0,
2007,Best Supporting Actor,Rescue Dawn,Steve Zahn,0,
2007,Best Supporting Actress,The Mist,Marcia Gay Harden,0,
2007,Best Supporting Actress,Lars and the Real Girl,Emily Mortimer,0,
2007,Best Supporting Actress,Atonement,Saoirse Ronan,0,
2007,Best Supporting Actress,Gone Baby Gone,Amy Ryan,0,
2007,Best Supporting Actress,Harry Potter and the Order of the Phoenix,Imelda Staunton,0,
2007,Best Supporting Actress,Michael Clayton,Tilda Swinton,1,
2007,Best Director,Gone Baby Gone,Ben Affleck,0,
2007,Best Director,There Will Be Blood,Paul Thomas Anderson,0,
2007,Best Director,Sweeney Todd,Tim Burton,0,
2007,Best Director,No Country for Old Men,Joel and Ethan Coen,1,
2007,Best Director,Michael Clayton,Tony Gilroy,0,
2007,Best Director,Atonement,Joe Wright,0,
2007,Best Cinematography,The Assassination of Jesse James by the Coward Robert Ford,Roger Deakins,0,
2007,Best Cinematography,Atonement,Seamus McGarvey,0,
2007,Best Cinematography,Harry Potter and the Order of the Phoenix,Slawomir Idziak,0,
2007,Best Cinematography,Fracture,Kramer Morgenthau,0,
2007,Best Cinematography,No Country for Old Men,Roger Deakins,0,
2007,Best Cinematography,Sweeney Todd: The Demon Barber of Fleet Street,Dariusz Wolski,0,
2007,Best Cinematography,There Will Be Blood,Robert Elswit,1,
2007,Best Original Screenplay,Cassandra's Dream,Woody Allen,0,
2007,Best Original Screenplay,Juno,Diablo Cody,0,
2007,Best Original Screenplay,La Vie En Rose,Isabelle Sobelman|Olivier Dahan,0,
2007,Best Original Screenplay,Lars and the Real Girl,Nancy Oliver,1,
2007,Best Original Screenplay,Michael Clayton,Tony Gilroy,0,
2007,Best Original Screenplay,Rescue Dawn,Werner Herzog,0,
2007,Best Original Screenplay,Once,John Carney,0,
2007,Best Adapted Screenplay,The Assassination of Jesse James by the Coward Robert Ford,Andrew Dominik,0,
2007,Best Adapted Screenplay,Atonement,Christopher Hampton,0,
2007,Best Adapted Screenplay,The Counterfeiters,Stefan Ruzowitzky,0,
2007,Best Adapted Screenplay,Gone Baby Gone,Ben Affleck|Aaron Stockard,0,
2007,Best Adapted Screenplay,The Kite Runner,David Benioff,0,
2007,Best Adapted Screenplay,No Country for Old Men,Joel and Ethan Coen,1,
2007,Best Adapted Screenplay,There Will Be Blood,Paul Thomas Anderson,0,
2007,Best Adapted Screenplay,Zodiac,James Vanderbilt,0,
2007,Best Animated Feature,Beowulf,,0,
2007,Best Animated Feature,Ratatouille,,2,
